L101_volume,L102_volume,L103_volume,L104_volume,L106_volume,L107_volume,L108_volume,L101_occupancy,L102_occupancy,L103_occupancy,L104_occupancy,L106_occupancy,L107_occupancy,L108_occupancy,DAY,MIN.3.TIME
12,75,76,76,88,73,66,1.575,21.26,12.795,56.105,13.585,7.87,12.8,3,1
23,61,68,62,89,52,56,3.345,10.435,10.435,26.18,12.995,4.92,6.495,3,2
19,60,67,66,94,56,50,2.755,11.025,10.435,28.155,12.205,6.1,8.665,3,3
20,65,80,73,107,59,65,3.15,23.82,17.325,35.235,17.72,6.3,13.585,3,4
25,86,79,71,107,60,61,3.15,20.475,12.01,43.115,16.93,6.69,8.465,3,5
10,39,38,40,53,41,21,1.18,6.495,10.04,26.185,8.465,4.53,3.15,3,6
26,65,73,63,96,61,48,3.74,13.19,10.24,26.18,14.175,6.105,5.905,3,7
24,76,77,65,89,62,48,3.54,15.555,11.22,29.725,10.825,6.695,5.12,3,8
19,84,56,71,78,61,50,3.345,22.64,6.1,37.01,11.615,6.3,6.5,3,9
21,82,61,64,97,71,54,2.755,15.155,11.22,34.06,16.735,8.07,6.695,3,10
25,78,73,73,90,72,54,3.145,21.655,9.45,53.55,12.795,7.68,5.905,3,11
13,81,51,87,79,82,51,1.375,24.215,5.905,49.61,10.83,9.645,7.085,3,12
17,73,72,83,94,69,49,2.56,13.585,8.465,35.63,12.005,6.69,5.705,3,13
25,80,63,67,75,55,47,3.35,17.325,8.66,29.135,8.665,5.315,5.71,3,14
20,65,64,54,80,68,40,2.36,12.205,8.07,22.835,9.845,7.87,4.725,3,15
23,68,66,64,79,64,60,2.56,12.795,7.87,31.105,14.965,5.905,7.48,3,16
21,47,65,51,88,53,54,2.165,7.875,7.285,19.69,11.42,5.115,6.495,3,17
22,63,66,67,94,65,57,1.965,11.81,8.465,27.165,12.995,7.675,7.285,3,18
20,67,54,66,89,63,43,2.36,12.01,5.515,34.455,11.02,7.48,4.725,3,19
19,69,59,67,67,61,48,1.77,12.795,10.63,37.795,8.465,5.71,5.905,3,20
21,70,62,56,98,69,43,1.965,11.615,8.465,19.49,13.585,7.675,4.92,3,21
18,55,54,61,83,65,47,1.575,9.45,5.905,31.105,10.63,6.5,5.51,3,22
15,61,64,58,101,48,46,1.77,9.84,8.07,26.185,14.375,4.53,5.115,3,23
22,47,59,55,87,63,47,2.36,7.285,7.285,22.44,10.235,6.5,5.515,3,24
23,56,56,49,73,42,32,2.365,9.25,5.705,16.34,8.075,3.94,4.13,3,25
24,54,51,68,85,45,42,2.365,9.255,6.495,27.955,10.83,4.725,4.33,3,26
